Wall time,Step,Value
1668040540.8333578,5000,121.0
1668040549.4260898,10000,122.0
1668040554.7293987,15000,202.0
1668040560.3225343,20000,291.0
1668040569.9651084,25000,358.0
1668040575.4004607,30000,384.0
1668040589.2869465,35000,453.0
1668040598.4614372,40000,457.0
1668040611.4487038,45000,523.0
1668040622.1602824,50000,511.0
1668040632.5767746,55000,691.0
1668040644.044357,60000,642.0
1668040653.243957,65000,736.0
1668040665.7801962,70000,738.0
1668040675.9080894,75000,695.0
1668040689.4031196,80000,873.0
1668040699.3858438,85000,924.0
1668040709.8155296,90000,945.0
1668040721.1514065,95000,1032.0
1668040731.376737,100000,1121.0
1668040743.06326,105000,1129.0
1668040754.4391358,110000,1202.0
1668040767.7215075,115000,1350.0
1668040776.9731932,120000,1256.0
1668040789.93498,125000,1312.0
1668040800.1156218,130000,1352.0
1668040814.1128864,135000,1517.0
1668040824.874401,140000,1373.0
1668040836.4725006,145000,1643.0
1668040846.255295,150000,1596.0
1668040860.1072152,155000,1620.0
1668040869.89756,160000,1848.0
1668040883.5721736,165000,1842.0
1668040893.8828719,170000,1911.0
1668040906.0891314,175000,1824.0
1668040915.8074622,180000,1973.0
1668040929.219086,185000,1943.0
1668040940.15064,190000,1988.0
1668040952.4498835,195000,2110.0
1668040964.909031,200000,2147.0
1668040975.1935372,205000,2247.0
1668040988.013574,210000,2298.0
1668040999.5025716,215000,2409.0
1668041010.4796398,220000,2413.0
1668041022.7564738,225000,2574.0
1668041033.6047378,230000,2546.0
1668041044.9612792,235000,2569.0
1668041057.919343,240000,2643.0
1668041069.1690443,245000,2661.0
1668041082.0034676,250000,2726.0
1668041093.3939936,255000,3146.0
1668041104.2587507,260000,2842.0
1668041115.689288,265000,2931.0
1668041128.6419568,270000,3293.0
1668041140.006096,275000,2878.0
1668041152.3311288,280000,3054.0
1668041163.066737,285000,3112.0
1668041175.6509187,290000,3213.0
1668041185.8217673,295000,3267.0
1668041199.2187493,300000,3255.0
1668041211.318854,305000,3354.0
1668041222.9599807,310000,3407.0
1668041235.9133806,315000,3478.0
1668041246.4301124,320000,3507.0
1668041258.9037302,325000,3956.0
1668041270.5424352,330000,3617.0
1668041283.1098623,335000,3697.0
1668041294.617873,340000,3742.0
1668041307.6989245,345000,3780.0
1668041317.8597977,350000,3861.0
1668041329.3200412,355000,4293.0
1668041342.3410614,360000,3973.0
1668041352.6470482,365000,3960.0
1668041366.3487372,370000,4464.0
1668041375.9276989,375000,4130.0
1668041388.541967,380000,4002.0
1668041400.2424161,385000,4175.0
1668041411.9288,390000,4304.0
1668041423.3506753,395000,4473.0
1668041434.6410182,400000,4702.0
1668041445.237726,405000,4620.0
1668041457.3011665,410000,4495.0
1668041468.6181154,415000,4582.0
1668041481.0337355,420000,4600.0
1668041492.5593963,425000,4698.0
1668041504.7096124,430000,4698.0
1668041514.1705122,435000,4588.0
1668041526.5950067,440000,4632.0
1668041537.0814188,445000,4793.0
1668041550.007929,450000,4906.0
1668041561.6093035,455000,5063.0
1668041571.0690196,460000,4944.0
1668041583.9611127,465000,5110.0
1668041594.5905511,470000,5101.0
1668041606.5492604,475000,5499.0
1668041617.5419707,480000,5237.0
1668041629.857267,485000,5294.0
1668041639.9998832,490000,5917.0
1668041651.1912308,495000,5395.0
1668041662.1920388,500000,5505.0
1668041673.4284172,505000,5447.0
1668041684.6446304,510000,5569.0
1668041696.0673494,515000,5417.0
1668041705.1032143,520000,5827.0
1668041717.251601,525000,5811.0
1668041727.8251965,530000,5824.0
1668041739.0488977,535000,5868.0
1668041749.9269116,540000,5856.0
1668041761.6233718,545000,5910.0
1668041771.2170105,550000,6014.0
1668041782.5263135,555000,6099.0
1668041793.812678,560000,6168.0
1668041803.9416316,565000,6778.0
1668041815.9449618,570000,6213.0
1668041824.9194696,575000,6367.0
1668041837.2374282,580000,6100.0
1668041846.365827,585000,6331.0
1668041858.5640814,590000,6432.0
1668041868.0741465,595000,6355.0
1668041879.3079002,600000,6457.0
1668041888.6608012,605000,6609.0
1668041900.0020247,610000,6901.0
1668041910.5248754,615000,6995.0
1668041921.8846655,620000,6781.0
1668041932.0160706,625000,6900.0
1668041943.3266306,630000,6798.0
1668041952.4260013,635000,6950.0
1668041964.4846961,640000,7121.0
1668041973.9589353,645000,7059.0
1668041985.7377203,650000,6806.0
