Wall time,Step,Value
1668040549.7324438,5000,105.0
1668040552.8737113,10000,118.0
1668040564.5042598,15000,159.0
1668040569.0333905,20000,219.0
1668040582.351228,25000,342.0
1668040587.4231915,30000,342.0
1668040601.4089696,35000,433.0
1668040609.1728938,40000,415.0
1668040621.7392263,45000,541.0
1668040632.134372,50000,602.0
1668040642.606399,55000,568.0
1668040652.3141127,60000,727.0
1668040662.151898,65000,804.0
1668040674.6549504,70000,800.0
1668040684.2650807,75000,764.0
1668040696.1631603,80000,942.0
1668040706.779877,85000,988.0
1668040717.2474093,90000,1083.0
1668040727.6504436,95000,1104.0
1668040739.5221305,100000,1096.0
1668040750.4262936,105000,1019.0
1668040760.788941,110000,1220.0
1668040770.8698702,115000,1296.0
1668040782.796726,120000,1315.0
1668040793.209524,125000,1391.0
1668040806.4951932,130000,1491.0
1668040816.8168588,135000,1566.0
1668040830.0367186,140000,1583.0
1668040838.3678014,145000,1671.0
1668040851.1632297,150000,1904.0
1668040861.682682,155000,1748.0
1668040873.660434,160000,1647.0
1668040884.175864,165000,1907.0
1668040896.2360706,170000,1758.0
1668040907.2802227,175000,1912.0
1668040918.900114,180000,1954.0
1668040930.4117696,185000,1897.0
1668040942.06899,190000,2284.0
1668040954.1736848,195000,2168.0
1668040965.708437,200000,2156.0
1668040976.12544,205000,2314.0
1668040987.58118,210000,2323.0
1668040999.3334172,215000,2420.0
1668041011.082187,220000,2466.0
1668041023.317903,225000,2475.0
1668041033.1843555,230000,2654.0
1668041046.6930456,235000,2670.0
1668041057.9323533,240000,2580.0
1668041069.74492,245000,2534.0
1668041081.548054,250000,2577.0
1668041093.1187427,255000,2568.0
1668041104.2057033,260000,3011.0
1668041115.0099568,265000,2898.0
1668041127.4899094,270000,2843.0
1668041139.6542475,275000,3016.0
1668041150.9850502,280000,3097.0
1668041162.5167117,285000,3235.0
1668041174.3009827,290000,3159.0
1668041184.5936515,295000,3090.0
1668041197.4188197,300000,3353.0
1668041208.5001705,305000,3170.0
1668041221.1559436,310000,3432.0
1668041233.34039,315000,3221.0
1668041243.0673635,320000,3473.0
1668041255.2363904,325000,3622.0
1668041266.824391,330000,3500.0
1668041279.4332495,335000,3749.0
1668041291.4369106,340000,3626.0
1668041301.4399152,345000,3828.0
1668041313.4009373,350000,3936.0
1668041324.6788177,355000,4024.0
1668041336.8344557,360000,3933.0
1668041349.1808147,365000,3880.0
1668041359.4452536,370000,3861.0
1668041371.2879987,375000,4236.0
1668041383.0622044,380000,4292.0
1668041394.7370524,385000,3969.0
1668041407.8145292,390000,4127.0
1668041418.9955895,395000,4509.0
1668041429.920773,400000,4256.0
1668041440.8014355,405000,4444.0
1668041451.8709102,410000,4644.0
1668041463.5963805,415000,4320.0
1668041476.1036165,420000,4635.0
1668041485.7650325,425000,4705.0
1668041498.5037138,430000,4699.0
1668041508.538119,435000,4665.0
1668041520.550503,440000,5012.0
1668041531.6639261,445000,5072.0
1668041543.4573667,450000,4807.0
1668041555.656076,455000,5185.0
1668041565.6182268,460000,5342.0
1668041576.552274,465000,5006.0
1668041588.654675,470000,5333.0
1668041599.8052979,475000,5030.0
1668041610.7783542,480000,5163.0
1668041623.1387124,485000,5421.0
1668041633.0848498,490000,5520.0
1668041644.168193,495000,5500.0
1668041655.9804125,500000,5625.0
1668041666.3591259,505000,5465.0
1668041678.9876595,510000,5495.0
1668041690.8208373,515000,5782.0
1668041699.8230066,520000,5479.0
1668041712.4872694,525000,5686.0
1668041722.0932038,530000,5884.0
1668041734.622375,535000,5805.0
1668041746.3415084,540000,5697.0
1668041757.4265442,545000,6046.0
1668041768.2417872,550000,5922.0
1668041778.6182578,555000,5958.0
1668041789.9099197,560000,6373.0
1668041801.6833,565000,6405.0
1668041812.2665312,570000,6115.0
1668041822.0245237,575000,6491.0
1668041833.999788,580000,6318.0
1668041843.878293,585000,6208.0
1668041855.3188279,590000,6363.0
1668041866.4654055,595000,6766.0
1668041876.4701903,600000,6356.0
1668041888.2215872,605000,6737.0
1668041897.71253,610000,6768.0
1668041909.082669,615000,6573.0
1668041920.989852,620000,7041.0
1668041930.8551645,625000,7067.0
1668041942.0149846,630000,6691.0
1668041951.5792317,635000,7209.0
1668041963.4677706,640000,7277.0
1668041974.8107562,645000,6880.0
1668041985.083126,650000,7174.0
1668041997.2450821,655000,7529.0
1668042007.9017172,660000,7349.0
1668042017.4604168,665000,7216.0
1668042029.2420318,670000,7141.0
1668042040.2296321,675000,7363.0
1668042050.3922043,680000,7395.0
1668042062.521967,685000,7610.0
1668042070.4781573,690000,7623.0
1668042082.571083,695000,7434.0
1668042093.1871321,700000,7755.0
1668042102.822147,705000,7813.0
1668042114.7233772,710000,8030.0
1668042124.9910204,715000,7917.0
1668042135.2750103,720000,8038.0
1668042146.196124,725000,8021.0
1668042156.153318,730000,8036.0
1668042167.96913,735000,7982.0
1668042178.2930067,740000,8249.0
1668042188.0315442,745000,8332.0
1668042197.2824924,750000,8301.0
1668042207.3504717,755000,8203.0
1668042218.4388459,760000,8597.0
1668042228.166072,765000,8349.0
1668042238.3256445,770000,8407.0
1668042248.8876386,775000,8351.0
1668042257.7933886,780000,8727.0
1668042267.2243633,785000,8547.0
1668042277.9205124,790000,8671.0
1668042288.6873815,795000,8637.0
1668042298.2797585,800000,8808.0
1668042308.6648715,805000,9018.0
1668042317.252066,810000,8929.0
1668042327.8321226,815000,8937.0
1668042338.0075104,820000,9200.0
1668042347.4361973,825000,9231.0
1668042358.1541448,830000,9354.0
1668042367.0105374,835000,9179.0
1668042376.6945007,840000,9266.0
1668042386.689643,845000,9273.0
1668042396.0085375,850000,9384.0
1668042406.3821824,855000,9447.0
1668042415.9450066,860000,9697.0
1668042424.6360488,865000,9471.0
1668042434.162413,870000,9514.0
1668042443.9881444,875000,9884.0
1668042453.5895114,880000,9370.0
1668042462.796898,885000,9892.0
1668042471.9977891,890000,9592.0
1668042480.7030451,895000,9925.0
1668042489.407489,900000,9835.0
1668042499.0755694,905000,9735.0
1668042507.9868224,910000,9659.0
1668042517.6959758,915000,10245.0
1668042527.307283,920000,9905.0
1668042535.3784704,925000,10244.0
1668042544.1097949,930000,10031.0
1668042552.67032,935000,10339.0
1668042562.3533266,940000,10546.0
1668042571.1436453,945000,10453.0
1668042579.3579113,950000,10655.0
1668042588.762719,955000,10758.0
1668042597.9219205,960000,10627.0
1668042606.222474,965000,10559.0
1668042615.7889652,970000,10572.0
1668042623.3968172,975000,10641.0
1668042630.6398604,980000,10498.0
1668042638.3196218,985000,10721.0
1668042646.8043137,990000,10904.0
1668042654.9570153,995000,11199.0
1668042663.5641031,1000000,11013.0
1668042672.3543117,1005000,11341.0
1668042678.9296498,1010000,11374.0
1668042687.7125576,1015000,11182.0
1668042695.6889966,1020000,11241.0
1668042703.8995447,1025000,11608.0
1668042713.0073524,1030000,11464.0
1668042720.1919196,1035000,11421.0
1668042726.8816543,1040000,11265.0
1668042734.5028143,1045000,11297.0
1668042742.5346053,1050000,12212.0
1668042751.0456653,1055000,11606.0
1668042758.873046,1060000,11881.0
1668042766.825703,1065000,11930.0
1668042773.331451,1070000,11784.0
1668042780.744883,1075000,11643.0
1668042788.766081,1080000,11734.0
1668042796.16998,1085000,11628.0
1668042802.834747,1090000,12076.0
1668042809.984409,1095000,12376.0
1668042816.738112,1100000,12049.0
1668042824.494111,1105000,12112.0
1668042832.5650125,1110000,12480.0
1668042839.6812496,1115000,12207.0
1668042848.1031485,1120000,12164.0
1668042853.3114066,1125000,12604.0
